raw_text,aspectTerm,predicted_sentiment,inference_time
Had a blast with my best friend for sure . Service is good. food is best good quality. Staf is very friendly. Best buffet in Bangladesh,"Service, food, staf, buffet","positive, positive, positive, positive",0.9756052494049072
"Together buffet lunch at westin Dhaka , seasonal taste restaurant 😍 all food very yummy this is 3rd time I went there. All about just excellent 👌👌👌",food,positive,0.24410080909729004
Everything was good. But the menu was better before than this time. I would suggest add some more soup options. Other then that everything was amazing,"menu, soup options","negative, negative",0.36686038970947266
"Yes, it is a great place to go out with my family. We really enjoyed the food. Service is very excellent, Every staff is friendly .","food, Service, staff","positive, positive, positive",0.7356841564178467
"This is really wonderful experience. We went together for lunch at seasonal taste, The Westin Dhaka. All food just yummy. Specially main Course is so delicious 🤤🤤🤤. Specially thanks to mr.Shakhawat for invitation","food, lunch, main Course","positive, neutral, positive",0.7240355014801025
Is was a very nice day & lunch also at Westin Dhaka. All food was delicious and so yummy 🥰all good 👍🏽 bc bc……………………………..,"food, lunch","positive, positive",0.48876023292541504
Today we went seasonal taste restaurant for our business meeting... We are so happy for there service. Just wow❤️ food tast 100/100👌 all are so kind. Everything is excellent 👌💯,"service, food, taste","positive, positive, positive",0.7728676795959473
Today we went for Brunch. Breakfast plus lunch. Amazing choice of delicious food along with 3 fresh tasty juice. Top notch custom service from all staff. Also we got complimentary pool access which was an added bonus. Will definitely recommend everyone to visit.,"food, juice, service, staff, pool access","positive, positive, positive, positive, positive",1.2495582103729248
"We tried like all the buffet restaurant in Bangladesh,but westin buffet is best of best. Super food & service. Staff are really well trained Sharan & Clinton serve us very well ..we all love westin food always","food, service, staff","positive, positive, positive",0.7320475578308105
Food is great in general. Would have loved the sushi to be a bit more fresh. The sushi rice fell a bit stale in comparison.,"Food, sushi, sushi rice","positive, negative, negative",0.6171395778656006
Their food was very fresh and tasty. I often have lunch here with my family and friends. Their behavior was also very good.,"food, lunch","positive, neutral",0.49111175537109375
Its been a great experience. Food was lovely and the ambience was too. But the most commendable of them all would be their top notch service and food quality. Absolute banger. Would recommend to all.,"Food, ambience, service, food quality","positive, positive, positive, positive",0.9817004203796387
"Everything's was Perfect. Attentive service. Food are so delicious. Staff r so friendly and helpful , Recommend .*****","service, food, Staff","positive, positive, positive",0.7421438694000244
The foood and everything was very good Saron and falguni their behaviour was also good and very kind Will come here again. Highly recommended,"foood, behaviour","positive, positive",0.4834411144256592
"Just went to the Westin dhaka for brunch, the food, ambience and the service was pretty amazing. The staffs were very welcoming specially Ms Falguni. Hoping to visit here soon.","food, ambience, service, staffs","positive, positive, positive, positive",0.9632549285888672
Overall it is good. But I will recommend to taste to biriyani its too good. Highly recommended thanks falguni,biriyani,positive,0.24040532112121582
Nice environment. Food quality is very good. Staff are very friendly. Mr nikson & rafique is very good. Thank for a nice dinner.,"environment, Food quality, Staff, dinner","positive, positive, positive, positive",0.9725141525268555
The foods are very tasty and delicious specially the continental. The hospitality the receive are amazing.,"foods, continental, hospitality","positive, positive, positive",0.723522424697876
"everybodys service is excillence, Food was amazing and the surprise they gave me was quite impressive. Worth it.","service, Food","positive, positive",0.5209386348724365
"This place is nice to hang out and food also. I like sushi, oriental food, dessert and live cooking foods. The place is cool indeed.","sushi, oriental food, dessert, live cooking foods, place","positive, positive, positive, positive, positive",1.21514892578125
"Great atmosphere , delicious food, we had a mutton rezala .. Which is really delicious .. Sweety is very kind & giving us wonderfull service . Thanks falguni and sagor","atmosphere , food, service","positive, positive, positive",0.7834694385528564
Seasonal tastes is best restaurant in Dhaka city. Good food best service.Really we enjoyed here. Very nice environment. Thanks falguni and sagor. We will come again….,"food, service, environment","positive, positive, positive",0.7370967864990234
Seasonal taste Best restaurant..... delicious food. Grilled and matun nehari Best..... Service just excellent Staff good behaviour thanks,"food, Service, Staff","positive, positive, positive",0.7432079315185547
"The food that they serve are in very high quality which is undeniably satisfactory. On the the contrary, it is also quite delicious.","food, food","positive, positive",0.5010383129119873
"I explain my todays lunch experience.... It was an Awesome experience... I went there with my mom,kids, & husband.... So beautiful Place i love this. All food is just wow..... All staff are so friendly.....","Place, food, staff","positive, positive, positive",0.7574560642242432
"Westin brunch, is best brunch i ever seen. It's wonderful always. I love this place. Food quality Just wow. Service experience 👌👌👌👌","brunch, Food quality, Service","positive, positive, positive",0.7517960071563721
Its our family time with my wife & baby boy. We are very happy to spent our quality time at Westin dhaka. Special thanks all Staff they are superb. 👌👌👌,Staff,positive,0.2436504364013672
I went today in seasonal taste restaurant....And I have a awesome experience.. & next time I will go there with my friends... All food & staff are very friendly and helpful. Service experience is wowww..👌👌👌,"food, staff, Service","positive, positive, positive",0.7449090480804443
Today enjoying my lunch with my family member. Its really wonderful time. I really highly appreciate all Staff. They are really very friendly. All food yummy... Thanks to all.,"Staff, food, lunch","positive, positive, positive",0.7326169013977051
The food quality and variety of items are excellent . Service is as usual up to the mark . Best buffet resturent in Bangladesh . Recommended place for family dinner and specially with foreign guest ….,"food quality, variety of items, Service, buffet","positive, positive, positive, positive",0.9670376777648926
From the greeting step everything is perfect. food and service is up to the mark.all staff r super friendly.,"greeting, food, service, staff","positive, positive, positive, positive",0.9726159572601318
We enjoyed a lot the Buffet food r so delicious staff r friendly and helpful. 5 star service*****. recommended,"Buffet food, staff, service","positive, positive, positive",0.7312972545623779
"Impeccable service, luxurious amenities, and attention to detail made my stay at the 5-star hotel truly exceptional. The staff went above and beyond to ensure a memorable experience. Every aspect, from the elegant decor to the gourmet dining, exceeded my expectations. A truly indulgent escape.","service, staff, decor, dining","positive, positive, positive, positive",0.9772922992706299
Very nice moment....i enjoying my time with my brother . Seasonal taste food review just awsome. All are providing me a great service. All over its a beautiful & enjoybale day for me,"food, service","positive, positive",0.48070836067199707
Today I went westin Dhaka to haveing my lunch with my wife . Today our anniversary & we spent our quality time . It’s really very memorable. All staff are very friendly. Thanks to all of you. 🤝😍,staff,positive,0.23937058448791504
Great food with a calm ambience. We were well attended to and had a good experience overall. I particularly liked the sushis and the salads. The desserts were amazing as well .,"food, ambience, sushis, salads, desserts","positive, positive, positive, positive, positive",1.2178025245666504
The environment is well.Good service.Food is well.Highly recommended .mutton nihari was very best . Highly recommend.and falguni,"environment, service, food, mutton nihari, falguni","positive, positive, positive, positive, positive",1.2253687381744385
"It was amazing a lot of choices clean and delicious, specially Ms. Falguni and she do very nice service and she is so helpful , thanks a lot for hospitality and warm welcoming,","service, Ms. Falguni","positive, positive",0.4947030544281006
Seasonal taste restaurant we get yummy foods.tempura as always wonderful.service as always very good.. ..... very friendly ishrat thanks everyone,"foods, tempura, service","positive, positive, positive",0.7339978218078613
"Seasonal taste best of food. I love Grilled items. Mutton nihari, and cheese cake Just wow. Service was good. Thanks everyone Staff behaviour good.","food, Service, Staff behaviour, Mutton nihari, cheese cake","positive, positive, positive, positive, positive",1.2295713424682617
The environment was good food was fresh..excellent service all over good…….perfect buffet lunch lot’s of food…..,"environment, food, service, buffet lunch, food","positive, positive, positive, positive, positive",1.2415556907653809
Best of seasonal tastes restaurant. Service great. Food quality Very good..... Special Thanks ms Ishrat thanks........ 💕💕,"Service, Food quality","positive, positive",0.48763155937194824
Today I went with my wife in seasonal taste for brunch. Really it's a great experience. My wife is so happy to a great service. Food is excellent 👌. Thanks for the support ❤️,"service, Food","positive, positive",0.48783326148986816
"At Seasonal tastes restaurant we get yummy foods. Their live cooking grilled, dessert, various cuisine main courses also enjoyed our dinning experience.","foods, live cooking grilled, dessert, main courses, dinning experience","positive, positive, positive, positive, positive",1.2153239250183105
The service and food was amazing. Just 10/10. The people are also good and amazing behaviour. A must go with your dear falguni,"service, food","positive, positive",0.49584007263183594
"Specially soup is so yummy for me. Tempura as always wonderful. Desert , nehari, & juice is fresh just wow. Service as always very good to all","soup, Tempura, desert, nehari, juice, Service","positive, positive, positive, positive, positive, positive",1.4753501415252686
Overall a great experience. The food can get better. Otherwise everything is fine. And the behaviour of the staffs are very good. They are well behaved.,"food, staffs","negative, positive",0.44135093688964844
"Nice environment with good, really delicious the food really enjoying, wanna go with my family again, specially complementary swimming was awesome.","environment, food, swimming","positive, positive, positive",0.7354130744934082
Absolutely amazing food great place and service. Mr. Rubel and Mr. Sagar are excellent at their job.,"food, place, service","positive, positive, positive",0.7490453720092773
This is a awesome lunch with some friends 🥰 lovely day at seasonal taste. Food is really very yammy. Service quality is jst wow. All people are very good & giving me great service. Thank you so much.,"lunch, Food, Service, Service quality","positive, positive, positive, positive",0.9739644527435303
I went the seasonal taste in westin Dhaka. It was a wonderful lunch today. Specially beef section is very yammy. Food & service are good. Thanks to all of you.,"Food, service, beef section, lunch","positive, positive, positive, positive",0.9815561771392822
Food quality is very good. Specially ice cream peanut butter flaver. Services is very good. All stuff very friendly.,"Food quality, ice cream peanut butter flaver, Services, stuff","positive, positive, positive, positive",0.9970781803131104
"Tastes restaurant is always my first choice intire Dhaka. I usually come here for meeting, ms Jannat and ms Shanta are the best server I have ever seen . My foreign clients are also very much happy with their service","server, service","positive, positive",0.4891490936279297
Best of seasonal 👌 taste restaurant. I loved food 😋 service was great 👍 Ms ishrat very helpful thanks 😊.....,"food, service","positive, positive",0.501568078994751
It is a very nice place for dinning. The staff are very friendly with us.They always assist to their food .my over all experience is outstanding.,"staff, food, place","positive, neutral, positive",0.7515532970428467
Great food and ambience. A wonderful dining experience thanks to Mr. Krishna's hospitality. The servicessape is worth applauding.,"food, ambience, servicessape","positive, positive, positive",0.7448434829711914
Quality of foods and serving are excellent. Maintaing cleanness and hygine is quite satisfactory. I am pleased.,"Quality of foods, serving, cleanness, hygine","positive, positive, positive, positive",0.9777343273162842
Each and every item was just outstanding. The fish and prawn were the best I have ever tried. Highly recommend it. Great service by Krishna,"fish, prawn, service","positive, positive, positive",0.7291507720947266
I went seasonal taste with my friends 😍 all food in very good . Service quality is just awesome 😍 they giving me wonderful service.. thanks all❤️,"food, Service quality","positive, positive",0.48131275177001953
Atmosphere was amazing.. got live cookings station. food was fresh and taste and staff was friendly. Will be back for sure.,"Atmosphere, live cookings station, food, staff","positive, positive, positive, positive",0.9673733711242676
Taste is the best restaurant I often visit with my family My kids love their brunch so much their swimming pool is so wide my kids love this I really like that,brunch,positive,0.24133920669555664
Seasonal taste provide a best buffet in city. Also they have best swimming pool in dhaka. We really like their food and service. Shahin and nikson is a great server and ms jannat is very welcoming,"food, service, server, swimming pool","positive, positive, positive, positive",0.999884843826294
Seasonal taste restaurant is always in my first priority. Specially their live kitchen is just wow for us and dessert area is just best item they served. We really enjoy our brunch,"live kitchen, dessert area, brunch","positive, positive, positive",0.7229092121124268
"Krishna has been wonderful for every meal we had at Seasonal Tastes. His service is top notch, as well done as the food :) Will definitely visit again!","service, food, meal","positive, positive, positive",0.7316184043884277
Hilsha feast was very good. Environment and behavior was excellent. Other food special deserts were fantastic.,"Hilsha feast, food special deserts, Environment, behavior","positive, positive, positive, positive",0.9762794971466064
One of the most memorable restaurant experience of my life! We had dinner .Food was all round amazing. They treat the house like family. Everything we enjoyed.,"dinner, Food","neutral, positive",0.5060122013092041
"I explain my buffet lunch experience . Its really awesome. I will come back again & again. Food quality, service quality everything are very good. ☺️💜 specially desert is nice 🤩 thanks to all of you.","Food quality, service quality, desert","positive, positive, positive",0.7399420738220215
"I m regular guest in seasonal taste. Today I come with my family. It was an wonderful experience. 😍😍 Specially desert.prawn, fish are very good . Test quality good. Service quality is very good. Thanks to all of you.❤️","prawn, fish, Service quality, desert, Test quality","positive, positive, positive, positive, positive",1.2183637619018555
"Today excellent lunch i have. Every food quality are very nice. Prawn tempura, fish etc are awesome. Services experience is really good. Specially thank to all service stuff But we need soft drinks including in Buffett. Thanks","food quality, fish, Services, service stuff, soft drinks, Buffett","positive, positive, positive, positive, negative, neutral",1.4013123512268066
"The lunch was amazing loved the experience,Ishrat mam was amazing person to here her aura was amazing",lunch,positive,0.24030232429504395
Seasonal tastes restaurant best buffet Brunch. I like fish kofta. And kebab... Brunch special care Ishrat good service all good nice food i will come Again thanks...,"fish kofta, kebab, Brunch special, service, food","positive, positive, positive, positive, positive",1.2762870788574219
Great for the brunch.Best restaurant seasonal taste .excellent dessert 👍 food are good and Ishrat is so excellent service very much well behave thanks .,"brunch, food, dessert, service","positive, positive, positive, positive",0.9793243408203125
"Best restaurant seasonal tastes.excellent service ,food quality good 😊 so we are happy grilled items ,fresh fish 🐠 I like dessert 🍨 .ms Ishrat wonderful service very friendly thanks .","service ,food quality ,dessert ,grilled items ,fresh fish","positive, positive, positive, positive, positive",1.2061326503753662
Excellent dessert and live station items though main course could have been better. Highly recommended 👌,"dessert, live station items, main course","positive, positive, negative",0.6743450164794922
"Seasonal taste restaurant food just delicious 😋.excellent service the ambiance here was fantastic ,special service ms Ishrat and mr didar thanks everyone","food, service, ambiance","positive, positive, positive",0.7455739974975586
"I came with my friend At seasonal taste restaurant 😍, it was an excellent experience 🥰. Food test, restaurant View, & service experience is awesome 😍. Specially thank to shanta, & didar for special support 🥰 nxt time i will be came again 🤩.","Food, restaurant View, service, support","positive, positive, positive, positive",0.9744775295257568
The food is delicious and surroundings and the soft music is great The behavior of staff are very friendly. Specifically Mr. Krishna. Will come again.,"food, surroundings, music, staff","positive, positive, positive, positive",0.9925780296325684
"Food taste is good and their service is soo much cushy. Indulging in a symphony of flavors, the culinary journey at seasonal taste of westin dhaka was nothing short of a masterpiece. From the first bite to the last, each dish presented a harmonious blend...More","Food taste, service, dish","positive, positive, positive",0.7329180240631104
Food and service was good and had an amazing experience . The staff were hospitable and the food quality was excellent,"Food, service, staff, food quality","positive, positive, positive, positive",1.001399278640747
Very super service seasonal tastes restaurant..food just delicious 😋 dessert and tempura 🍤 I love ❤️ very helpful ms.Ishrat and mr.Shaheen just super serious thanks,"service, food, dessert, tempura","positive, positive, positive, positive",1.0059585571289062
"Seasonal tastes restaurant wonderful service ,,,,,,,,,,special thanks ms.Ishrat .food just delicious 😋…………..all over excellent 👌 and mr didar and mr .shaheen very helpful thanks everyone","service, food, mr didar, mr .shaheen","positive, positive, positive, positive",0.9803509712219238
"I havr tried most of the indian,bengali and thai cusine.the foods taste good and they were fresh.and service was good.","foods, service, indian, bengali, thai cusine","positive, positive, positive, neutral, positive",1.2161412239074707
It was a great hospitality by the Westin people! Especially Mr Rubel & Mr Rofiq and also Mr Krishna ! Thankyou for making our dinner special!,"hospitality, dinner","positive, neutral",0.4944007396697998
The Food is so delicious & hygienic. They serve premium quality food & deserts. Apart this the restaurant environment is so good & comfortable. The behaviour of all the employees of the restaurant is so good & friendly. I’m very lucky of being here .,"Food, employees, environment, deserts","positive, positive, positive, positive",0.9839375019073486
seasonal taste is the best restaurant in the town. jannat is the best server in this restaurant. we always come here and she serve us tge best service. there food is so good and yummy,"server, food, service","positive, positive, positive",0.7265794277191162
Best brunch ever in city. I always come at seasonal tastes just because of there food and service. Jannat always taking care of us. She is a great server I had ever seen. My baby love there swimming pool and kids zone as well.,"brunch, food, service, server, swimming pool, kids zone","positive, positive, positive, positive, positive, positive",1.4486777782440186
"Seasonal taste restaurant in the best food.i love Sushil ❤️❤️and vagetable tempura shrimp just wow,👍 excellent brunch..wow service ms.ishrat very helpful....","food, service, brunch, vegetable tempura shrimp, sushil","positive, positive, positive, positive, positive",1.2234609127044678
"Sumptuous foods. Wide variety which is more than enough for breakfast and lunch. Live kitchen, fresh fryits and sweets were the best. Worth every penny. Will come back Again","foods, fryits, sweets","positive, positive, positive",0.7211365699768066
"Seasonal taste is nice restaurant in Dhaka city.Mr Rubel,Krisna and rakib gives us excellent service.",service,positive,0.24145054817199707
"The environment is outstanding and mind-blowing. Foods are very tasty and healthy. Recommended for come with family, friends and office party.","environment, Foods","positive, positive",0.4912450313568115
This is wonderful experience.food is very tasty & service experience is very good . Comfortable place & all are very good .,"food, service, place","positive, positive, positive",0.7210421562194824
Excellent service and food.the stuff are amazing.most of items are delicious .specially dessert..ms ishrat is very helpful.hrs take care of us lots.thanks to ms.ishrat,"service, food, stuff, dessert, ms.ishrat, hrs","positive, positive, positive, positive, positive, positive",1.4693896770477295
Nice service.food was delicious.also they surprised me with birthday cake .. best restaurant..seasonal taste restaurant.will definitely come with more people for party in future.thank you Ms ishrat.,"service, food, birthday cake","positive, positive, positive",0.7283740043640137
Ms. Ishrat give us excellent service.they were very helpful and their behaviour is very good 👍 😊..Nice environment..Nice restaurant .food was excellent............we are enjoying very happy.....,"service, environment, food","positive, positive, positive",0.7333674430847168
"what a spectacular place truly in love,was a delicious lunch in the restaurant. Good service by saron & sumona,highly recommend.","lunch, service","positive, positive",0.5032167434692383
I really like the ambiance and food of the hotel and the hospitality of Rubel and Krishna. They were very helpful and their behaviour is very good.,"ambiance, food, hospitality","positive, positive, positive",0.7465596199035645
Rubel & krishna give us excellent service. Nice environment. Food was excellent. We are very happy.💜💜,"service, environment, Food","positive, positive, positive",0.7547519207000732
Nice restaurant and delicious food.Rubel and Rofiq served our table .We are enjoying and very happy.,"food, served","positive, positive",0.4945385456085205
Everything was perfect. Had a wonderful time. Service was great. Thanks to Rubel and Firoz. Would love to visit again :),Service,positive,0.24241042137145996
The foods were great for a reasonable price as well. The dessert and live grill was exceptionally good. Really good place to dine with family. Shout-out to Rubel and Sumona for their great services amongst all the other staffs.,"foods, price, dessert, live grill, services, staffs","positive, positive, positive, positive, positive, positive",1.5231692790985107
Very wonderful service. Food was delicious. Also they surprised me with a birthday cake and that will be a memorable moment of my life. Best hotel in Bangladesh. Will definitely come with more people for party in future. Thank you sharan for your service.,"service, Food, birthday cake","positive, positive, positive",0.7456693649291992
"Most recently I have stay the westin Dhaka. The breakfast was superb & most delicious. Room was so clean , staff was so friendly. Specially reception guy was so must professional also concierge.","breakfast, room, staff, reception guy, concierge","positive, positive, positive, positive, positive",1.2366127967834473
"Among all the 5* hotel in Bangladesh, IMO The Westin is the best in terms of variation & taste of food. I've been there several times for weekend brunch; the ambience, food & service is top notch. I hope they'll continue this kind of hospitality...More","ambience, food, service, brunch","positive, positive, positive, positive",1.0128660202026367
We had wonderful lunche. Food are really fantastic and delicious. Very good atmosphere and friendly staff. Also we enjoyed there complimentary seeming pool.,"lunche, Food, atmosphere, staff, seeming pool","positive, positive, positive, positive, positive",1.260758876800537
Nice hotel in Bangladesh. We were in Thai festival. Food quantity & quality are really good. Staff service is awesome.Sharan & Rafiq help us a lot. Thanks everyone.,"food quantity & quality, Staff service","positive, positive",0.5086324214935303
Thai festival food was really delicious. We came here for business meeting. Mr.rafique & mr.sharan help us a lot. Unforgettable dinner we hed in westin.,"Thai festival food, dinner","positive, positive",0.49909162521362305
Real Thai food and good yummy . Environmental is really cool. Thai chef are very good in behavior food are awesome. Thanks Sharan & Krishna for assist us,"Thai food, chef, behavior, food","positive, positive, positive, positive",0.9851057529449463
"We came for family dinner and the service was really great! So was the food! The staff team of Shagor, Falguni, Clinton, Jonny and Nixon - were excellent and made our experience memorable.","service, staff, food","positive, positive, positive",0.7277209758758545
"I would like to thank falguni and sagor for what they have done. They are very smiling, helpful and good services.",services,positive,0.24602222442626953
It was best buffet in the town . Thai food are very delicious. Falguni and sagor was always service to us. We are enjoying a lot . Highly recommend,"buffet, Thai food, service","positive, positive, positive",0.7312026023864746
